Root,gamma,C_calc,Matched,Value,Log Diff
1,1.505392474424325e+01,-9.367783094563845e-30,h,6.626070150000000e-34,4.150380796918203e+00
2,7.414013013962085e+01,-4.959474685622124e-31,l_P,1.616000000000000e-35,4.486994321419036e+00
