Root,gamma,C_calc,Matched,Value,Log Diff
1,1.505392474424325e+01,-9.367783094563845e-30,DE,6.900000000000001e-27,2.867212264386506e+00
2,7.414013013962085e+01,-4.959474685622124e-31,h,6.626000000000000e-34,2.874184246311668e+00
3,1.388599035256651e+02,1.708707218577866e-30,h,6.626000000000000e-34,3.411416222603076e+00
