Root,gamma,C_calc,Z3_real,Matched,Value,Log Diff
1,1.505392474424325e+01,-9.367783094563845e-30,1.393814466792207e-37,DE,6.900000000000001e-27,2.867212264386506e+00
2,7.414013013962085e+01,-4.959474685622124e-31,-3.057183426730981e-44,h,6.626070150000000e-34,2.874179648425059e+00
3,1.388599035256651e+02,1.708707218577866e-30,-7.853847794763164e-46,h,6.626070150000000e-34,3.411411624716468e+00
